"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"199",2011,NA,NA,"Adventure","Animation","Family","Thriller",NA,NA
"200",2014,113733726,1.27e+08,"Action","Fantasy",NA,NA,NA,NA
"201",2010,148337537,1.3e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"202",2001,317557891,1.25e+08,"Action","Animation","Comedy","Family","Sci-Fi",NA
"203",2013,33592415,1.3e+08,"Adventure","Family","Fantasy",NA,NA,NA
"204",2016,NA,NA,"Action","Comedy","Fantasy",NA,NA,NA
"205",2003,305388685,1.4e+08,"Action","Adventure","Drama","Horror","Sci-Fi",NA
"206",2010,NA,NA,"Action","Adventure","Fantasy",NA,NA,NA
"207",2014,337103873,1.25e+08,"Fantasy",NA,NA,NA,NA,NA
"208",2006,217536138,1.25e+08,"Adventure","Sci-Fi","Thriller",NA,NA,NA
"209",2014,131536019,1.03e+08,"Mystery","Thriller",NA,NA,NA,NA
"210",2003,214948780,1.1e+08,"Adventure","Animation","Comedy","Family","Musical",NA
"211",2011,209805005,1.25e+08,"Action","Adventure","Fantasy","Sci-Fi","Thriller",NA
"212",2011,186830669,1.25e+08,"Action","Crime","Thriller",NA,NA,NA
"213",2010,163192114,1.25e+08,"Action","Adventure","Crime","Mystery","Thriller",NA
"214",1990,119412921,6.5e+07,"Action","Adventure","Fantasy",NA,NA,NA
"215",1999,32694788,8.5e+07,"Action","Sci-Fi",NA,NA,NA,NA
"216",2012,113165635,1.25e+08,"Action","Adventure","History",NA,NA,NA
"217",1997,107285004,1.25e+08,"Action","Adventure","Thriller",NA,NA,NA
"218",2000,260031035,1.23e+08,"Action",NA,NA,NA,NA,NA
"219",2004,186739919,1.25e+08,"Comedy","Family","Fantasy",NA,NA,NA
"220",2000,215397307,1.25e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"221",2000,182618434,1.4e+08,"Action","Adventure","Thriller",NA,NA,NA
"222",2007,131920333,1.3e+08,"Action","Adventure","Drama","Thriller",NA,NA
"223",2012,124976634,1.2e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
